identifiant;nom_etablissement;annee_emission;milieu;polluant;quantite;unite
0005701451;LUZEAL;2020;Air;Acétaldéhyde (aldéhyde acétique  éthanal);888;kg/an
0005701497;LUZEAL;2020;Air;Acétaldéhyde (aldéhyde acétique  éthanal);531;kg/an
0005701507;TEREOS NUTRITION ANIMALE;2020;Air;Acétaldéhyde (aldéhyde acétique  éthanal);747;kg/an
0005701539;TEREOS NUTRITION ANIMALE;2020;Air;Acétaldéhyde (aldéhyde acétique  éthanal);700;kg/an
0005701544;TEREOS NUTRITION ANIMALE;2020;Air;Acétaldéhyde (aldéhyde acétique  éthanal);710;kg/an
0005701671;TEREOS NUTRITION ANIMALE;2020;Air;Acétaldéhyde (aldéhyde acétique  éthanal);942;kg/an
0005701706;SUN DESHY;2020;Air;Acétaldéhyde (aldéhyde acétique  éthanal);1600;kg/an
0005701721;SUN DESHY;2020;Air;Acétaldéhyde (aldéhyde acétique  éthanal);688;kg/an
0005701735;LUZEAL;2020;Air;Acétaldéhyde (aldéhyde acétique  éthanal);1000;kg/an
0005701751;LUZEAL;2020;Air;Acétaldéhyde (aldéhyde acétique  éthanal);600;kg/an
0005701760;SUN DESHY;2020;Air;Acétaldéhyde (aldéhyde acétique  éthanal);725;kg/an
0005701765;PRODEVA;2020;Air;Acétaldéhyde (aldéhyde acétique  éthanal);437;kg/an
0005701908;CAPDEA -  Assencières;2020;Air;Acétaldéhyde (aldéhyde acétique  éthanal);1140;kg/an
0005701910;CAPDEA - Aulnay;2020;Air;Acétaldéhyde (aldéhyde acétique  éthanal);1120;kg/an
0005702543;CAPDEA - Marigny le Chatel;2020;Air;Acétaldéhyde (aldéhyde acétique  éthanal);1140;kg/an
0005800291;UCDV;2020;Air;Acétaldéhyde (aldéhyde acétique  éthanal);948;kg/an
0006200339;GLANZSTOFF LONGLAVILLE;2020;Air;Acétaldéhyde (aldéhyde acétique  éthanal);31100;kg/an
0006700643;TEREOS STARCH & SWEETENERS EUROPE;2020;Air;Acétaldéhyde (aldéhyde acétique  éthanal);2130;kg/an
0010001019;S.I.D.E.S.U.P;2020;Air;Acétaldéhyde (aldéhyde acétique  éthanal);1280;kg/an
0010002254;CRISTAL UNION Etablissement de CORBEILLES;2020;Air;Acétaldéhyde (aldéhyde acétique  éthanal);475;kg/an
0005800763;BARRY CALLEBAUT FRANCE;2020;Air;Acétaldéhyde (aldéhyde acétique  éthanal);1860;kg/an
0005901195;CF2P SAS (ex IKEA INDUSTRY FRANCE);2020;Air;Acétaldéhyde (aldéhyde acétique  éthanal);412;kg/an
0005105788;WEYLCHEM LAMOTTE (ex CLARIANT SFC);2020;Air;Acétaldéhyde (aldéhyde acétique  éthanal);18200;kg/an
0005701421;CRISTAL UNION;2020;Air;Acétaldéhyde (aldéhyde acétique  éthanal);11100;kg/an
0005702992;CRISTANOL;2020;Air;Acétaldéhyde (aldéhyde acétique  éthanal);254;kg/an
0006806581;KNAUF INSULATION LANNEMEZAN SAS;2020;Air;Acétaldéhyde (aldéhyde acétique  éthanal);595;kg/an
0005500920;ALGAIA;2020;Air;Aldéhyde formique (formaldéhyde);7000;kg/an
0005600419;ROCKWOOL FRANCE SAS;2020;Air;Aldéhyde formique (formaldéhyde);4230;kg/an
0005701706;SUN DESHY;2020;Air;Aldéhyde formique (formaldéhyde);1280;kg/an
0005800384;SYNGENTA PRODUCTION FRANCE SAS;2020;Air;Aldéhyde formique (formaldéhyde);1150;kg/an
0005901115;COMPAGNIE FRANCAISE DU PANNEAU;2020;Air;Aldéhyde formique (formaldéhyde);4540;kg/an
0006400402;SAINT-GOBAIN ISOVER;2020;Air;Aldéhyde formique (formaldéhyde);79200;kg/an
0006401029;ESSO Raffinage SAS;2020;Air;Aldéhyde formique (formaldéhyde);2540;kg/an
0005201748;SÉBASTIEN LABARRIERE;2020;Air;Aldéhyde formique (formaldéhyde);6540;kg/an
0005201807;EGGER Panneaux & Décors;2020;Air;Aldéhyde formique (formaldéhyde);23900;kg/an
0005800349;ESSO RAFFINAGE;2020;Air;Aldéhyde formique (formaldéhyde);5380;kg/an
0006202396;EGGER PANNEAUX ET DECORS;2020;Air;Aldéhyde formique (formaldéhyde);5860;kg/an
0006000348;PANNEAUX DE CORREZE;2020;Air;Aldéhyde formique (formaldéhyde);6500;kg/an
0006501121;REP;2020;Air;Aldéhyde formique (formaldéhyde);2630;kg/an
0005702355;UNILIN SAS;2020;Air;Aldéhyde formique (formaldéhyde);80500;kg/an
0005801240;LINEX PANNEAUX S.A.S;2020;Air;Aldéhyde formique (formaldéhyde);5730;kg/an
0005209347;SOBEGI SAS;2020;Air;Aldéhyde formique (formaldéhyde);4050;kg/an
0006410379;INEOS DERIVATIVES LAVERA;2020;Air;Aldéhyde formique (formaldéhyde);1650;kg/an
0005201914;SERIPANNEAUX;2020;Air;Aldéhyde formique (formaldéhyde);1790;kg/an
0007101355;EDF-PEI SAS;2020;Air;Aldéhyde formique (formaldéhyde);1550;kg/an
0054402245;VALDIS;2020;Air;Aldéhyde formique (formaldéhyde);1070;kg/an
0006307529;METHALYS (SAS);2020;Air;Aldéhyde formique (formaldéhyde);1620;kg/an
0005200086;CONDAT SAS;2020;Eau (direct);Aluminium et composés (exprimés en tant que Al);16500;kg/an
0006103723;GEPEIF STATION EPUR. DES INDUS;2020;Eau (direct);Aluminium et composés (exprimés en tant que Al);4190;kg/an
0006103973;TOTAL RAFFINAGE France;2020;Eau (direct);Aluminium et composés (exprimés en tant que Al);2110;kg/an
0006104466;TRIMET;2020;Eau (direct);Aluminium et composés (exprimés en tant que Al);7140;kg/an
0006202274;NORSKE SKOG;2020;Eau (direct);Aluminium et composés (exprimés en tant que Al);6280;kg/an
0007002377;THYSSEN KRUPP ELECTRICAL STEEL UGO;2020;Eau (indirect);Aluminium et composés (exprimés en tant que Al);3100;kg/an
0007202778;ROUSSELOT ANGOULEME SAS;2020;Sol;Aluminium et composés (exprimés en tant que Al);10200;kg/an
0005205132;SOBEGI - STEB;2020;Eau (direct);Aluminium et composés (exprimés en tant que Al);3140;kg/an
0005800349;ESSO RAFFINAGE;2020;Eau (direct);Aluminium et composés (exprimés en tant que Al);4210;kg/an
0006000385;INTERNATIONAL PAPER;2020;Eau (direct);Aluminium et composés (exprimés en tant que Al);20400;kg/an
0006000385;INTERNATIONAL PAPER;2020;Sol;Aluminium et composés (exprimés en tant que Al);186000;kg/an
0006105221;OSIRIS GIE;2020;Eau (direct);Aluminium et composés (exprimés en tant que Al);2680;kg/an
0006504715;Eau du Sud Parisien ESP;2020;Eau (direct);Aluminium et composés (exprimés en tant que Al);9640;kg/an
0006107527;VENCOREX FRANCE;2020;Eau (direct);Aluminium et composés (exprimés en tant que Al);14900;kg/an
0010011617;alvance aluminium wheels;2020;Eau (direct);Aluminium et composés (exprimés en tant que Al);3550;kg/an
0009077801;SIAAP - Site Seine Aval;2020;Sol;Aluminium et composés (exprimés en tant que Al);75100;kg/an
0009079201;STEP - Seine-centre;2020;Eau (direct);Aluminium et composés (exprimés en tant que Al);4050;kg/an
0009073303;STEP - Biganos;2020;Eau (direct);Aluminium et composés (exprimés en tant que Al);2130;kg/an
0009074901;STEP - Angers la Baumette;2020;Sol;Aluminium et composés (exprimés en tant que Al);19800;kg/an
0009077804;STEP - SEINE GRESILLONS;2020;Eau (direct);Aluminium et composés (exprimés en tant que Al);4450;kg/an
0009073305;STEP de la TESTE DE BUCH;2020;Eau (direct);Aluminium et composés (exprimés en tant que Al);4090;kg/an
0005201996;TIMAC AGRO SA;2020;Air;Ammoniac (NH3);36000;kg/an
0005300463;CIMENTS CALCIA;2020;Air;Ammoniac (NH3);32400;kg/an
0005401415;ISOVER ST GOBAIN;2020;Air;Ammoniac (NH3);45400;kg/an
0005600419;ROCKWOOL FRANCE SAS;2020;Air;Ammoniac (NH3);188000;kg/an
0005800331;YARA France;2020;Air;Ammoniac (NH3);463000;kg/an
0005800607;BOREALIS CHIMIE;2020;Air;Ammoniac (NH3);387000;kg/an
0005900978;EQIOM (Cimenterie);2020;Air;Ammoniac (NH3);22900;kg/an
0006102348;CALCIA  SA;2020;Air;Ammoniac (NH3);10100;kg/an
0006102435;LAFARGE CIMENTS;2020;Air;Ammoniac (NH3);19100;kg/an
0006102824;VICAT;2020;Air;Ammoniac (NH3);122000;kg/an
0006200158;SOLVAY OPERATIONS FRANCE;2020;Air;Ammoniac (NH3);644000;kg/an
0006200307;NOVACARB;2020;Air;Ammoniac (NH3);1230000;kg/an
0006201370;EQIOM;2020;Air;Ammoniac (NH3);12400;kg/an
0006202274;NORSKE SKOG;2020;Air;Ammoniac (NH3);51300;kg/an
0006300908;LAFARGEHOLCIM CIMENTS (usine cimenterie);2020;Air;Ammoniac (NH3);15200;kg/an
0006300918;YARA FRANCE;2020;Air;Ammoniac (NH3);16100;kg/an
0006301415;MONDELEZ International;2020;Air;Ammoniac (NH3);83000;kg/an
0006400196;SAS ZEPHIRE;2020;Air;Ammoniac (NH3);12000;kg/an
0006400402;SAINT-GOBAIN ISOVER;2020;Air;Ammoniac (NH3);170000;kg/an
0006400414;SUEZ RV ENERGIE;2020;Air;Ammoniac (NH3);10900;kg/an
0006400651;ARKEMA FRANCE SA;2020;Air;Ammoniac (NH3);63400;kg/an
0006401567;LAFARGEHOLCIM CIMENTS;2020;Air;Ammoniac (NH3);122000;kg/an
0006501167;Borealis Grandpuits;2020;Air;Ammoniac (NH3);124000;kg/an
0006503289;CALCIA gargenville (cimenterie);2020;Air;Ammoniac (NH3);12100;kg/an
0006700471;BOREALIS PEC RHIN;2020;Air;Ammoniac (NH3);132000;kg/an
0006700701;HOLCIM HAUT-RHIN;2020;Air;Ammoniac (NH3);42200;kg/an
0006802598;LAFARGE CIMENTS;2020;Air;Ammoniac (NH3);11300;kg/an
0007000483;ARKEMA FRANCE;2020;Air;Ammoniac (NH3);16800;kg/an
0007000778;MAXAM TAN;2020;Air;Ammoniac (NH3);10400;kg/an
0007000785;EQIOM Cimenterie de Lumbres;2020;Air;Ammoniac (NH3);148000;kg/an
0007000956;ARCELORMITTAL FRANCE;2020;Air;Ammoniac (NH3);233000;kg/an
0007002223;SEDE;2020;Air;Ammoniac (NH3);68100;kg/an
0007201542;CIMENTS CALCIA sas;2020;Air;Ammoniac (NH3);21200;kg/an
0010000648;Ciments Calcia - SITE DE VILLIERS AU BOUIN;2020;Air;Ammoniac (NH3);10300;kg/an
0010003878;CIMENTS CALCIA - SITE DE BEFFES;2020;Air;Ammoniac (NH3);32600;kg/an
0005200259;YARA FRANCE;2020;Air;Ammoniac (NH3);144000;kg/an
0005701701;CIMENTS CALCIA;2020;Air;Ammoniac (NH3);18900;kg/an
0005902685;INOVYN France;2020;Air;Ammoniac (NH3);67000;kg/an
0006200725;VICAT (usine de Xeuilley);2020;Air;Ammoniac (NH3);77200;kg/an
0006201748;URSA FRANCE;2020;Air;Ammoniac (NH3);27600;kg/an
0022200016;EDF SEI - PK;2020;Air;Ammoniac (NH3);56200;kg/an
0005200682;SEDE Environnement;2020;Air;Ammoniac (NH3);36500;kg/an
0005205417;Action Environnenent Services SAS;2020;Air;Ammoniac (NH3);63700;kg/an
0007206396;SEDE ENVIRONNEMENT;2020;Air;Ammoniac (NH3);33800;kg/an
0006201724;SEDE;2020;Air;Ammoniac (NH3);13600;kg/an
0005106416;SEDE ENVIRONNEMENT;2020;Air;Ammoniac (NH3);12500;kg/an
0005207883;SEDE ENVIRONNEMENT SAS - Agence d'Agen;2020;Air;Ammoniac (NH3);13000;kg/an
0018300685;AMETYST;2020;Air;Ammoniac (NH3);53500;kg/an
0006305094;SAINT GOBAIN ISOVER;2020;Air;Ammoniac (NH3);121000;kg/an
0006404837;EveRé SAS;2020;Air;Ammoniac (NH3);67500;kg/an
0006806911;LOMAGNE COMPOST;2020;Air;Ammoniac (NH3);13900;kg/an
0005106806;SEDE ENVIRONNEMENT;2020;Air;Ammoniac (NH3);15300;kg/an
0005207886;PAPREC AGRO;2020;Air;Ammoniac (NH3);38700;kg/an
0005703565;SEDE ENVIRONNEMENT;2020;Air;Ammoniac (NH3);16400;kg/an
0007004143;SUEZ ORGANIQUE SAS;2020;Air;Ammoniac (NH3);15400;kg/an
0010009007;SEDE ENVIRONNEMENT (DROUAIS COMPOST);2020;Air;Ammoniac (NH3);11800;kg/an
0006806581;KNAUF INSULATION LANNEMEZAN SAS;2020;Air;Ammoniac (NH3);106000;kg/an
0055500063;EARL Multiporcs de l'Aire;2020;Air;Ammoniac (NH3);14400;kg/an
0057201466;SCEA DENIEUL;2020;Air;Ammoniac (NH3);17400;kg/an
0052203031;SCEA ROBERT JF;2020;Air;Ammoniac (NH3);14800;kg/an
0052204022;EARL DE LA VILLE GLE;2020;Air;Ammoniac (NH3);22300;kg/an
0007004726;SUEZ Organique (EX TERRALYS);2020;Air;Ammoniac (NH3);10700;kg/an
0052201258;SCEA ELEVAGE FERCHAL;2020;Air;Ammoniac (NH3);14600;kg/an
0052201290;LE FRANC MICHEL;2020;Air;Ammoniac (NH3);11600;kg/an
0052202300;SCEA LE COSQUER;2020;Air;Ammoniac (NH3);17000;kg/an
0052202397;EARL DE KERLOIC;2020;Air;Ammoniac (NH3);21500;kg/an
0052203424;EARL DU CHENE CROSLET;2020;Air;Ammoniac (NH3);13200;kg/an
0052206480;EARL HERVEIC CLAUDE;2020;Air;Ammoniac (NH3);10900;kg/an
0057200925;SCEA LECORNUE;2020;Air;Ammoniac (NH3);14800;kg/an
0007101355;EDF-PEI SAS;2020;Air;Ammoniac (NH3);35400;kg/an
0040000003;Electricité De Mayotte - EDM;2020;Air;Ammoniac (NH3);12100;kg/an
0050100901;EARL DU SOLEIL LEVANT;2020;Air;Ammoniac (NH3);15000;kg/an
0052901536;SARL LE PAGE;2020;Air;Ammoniac (NH3);21900;kg/an
0052902739;KERENES (SAS de);2020;Air;Ammoniac (NH3);10800;kg/an
0054401162;Coopérative de CHANTELOUP;2020;Air;Ammoniac (NH3);13700;kg/an
0007300368;EDF Production Electrique Insulaire - Etablissement de Haute Corse;2020;Air;Ammoniac (NH3);18300;kg/an
0055500012;SCEA DU BRULY;2020;Air;Ammoniac (NH3);10100;kg/an
0055500419;SARL FERME SCHAFBUSCH;2020;Air;Ammoniac (NH3);14100;kg/an
0055500459;SCEA du Pré aux Auges;2020;Air;Ammoniac (NH3);15400;kg/an
0055602655;SCEA DE KERVREHAN;2020;Air;Ammoniac (NH3);13500;kg/an
0006900563;EDF PEI Pointe Jarry;2020;Air;Ammoniac (NH3);10400;kg/an
0050100530;ALAIN MALOD;2020;Air;Ammoniac (NH3);11300;kg/an
0052204660;GAEC DENIS;2020;Air;Ammoniac (NH3);10000;kg/an
0052800382;david leveillard;2020;Air;Ammoniac (NH3);12500;kg/an
0052901332;EARL DU DRENNEC;2020;Air;Ammoniac (NH3);14500;kg/an
0052902705;EARL DU KOZKER;2020;Air;Ammoniac (NH3);13200;kg/an
0052903803;EARL CAPITAINE;2020;Air;Ammoniac (NH3);21900;kg/an
0052903857;EARL TOURBOT;2020;Air;Ammoniac (NH3);17300;kg/an
0052904052;EARL LE GALL;2020;Air;Ammoniac (NH3);14100;kg/an
0053700605;GAEC GRAND COUESME;2020;Air;Ammoniac (NH3);30800;kg/an
0055302854;GAEC SEMIS (LE);2020;Air;Ammoniac (NH3);10100;kg/an
0055500171;EARL de la Carrière;2020;Air;Ammoniac (NH3);13000;kg/an
0055500215;SARL TOJAPIGS;2020;Air;Ammoniac (NH3);11400;kg/an
0055602148;EARL DES PINS;2020;Air;Ammoniac (NH3);22600;kg/an
0056400655;EARL PAULIEN;2020;Air;Ammoniac (NH3);11500;kg/an
0056400691;SARL PORCINE DU VIC-BILH;2020;Air;Ammoniac (NH3);11500;kg/an
0057700219;SARL DES 40 ARPENTS;2020;Air;Ammoniac (NH3);11100;kg/an
0052800154;BRULE (EARL);2020;Air;Ammoniac (NH3);14300;kg/an
0052901614;EARL DE ROC H GUEN;2020;Air;Ammoniac (NH3);11600;kg/an
0052903741;SCEA;2020;Air;Ammoniac (NH3);14500;kg/an
0052903809;G A E C LAURENT;2020;Air;Ammoniac (NH3);20500;kg/an
0055500458;SCEA de la Warinaux;2020;Air;Ammoniac (NH3);17500;kg/an
0003300469;Solvay Opérations France;2020;Air;Ammoniac (NH3);19800;kg/an
0005200856;SCEA  DE GALABEN;2020;Air;Ammoniac (NH3);13000;kg/an
0005201174;SCEA FOUGERAIE;2020;Air;Ammoniac (NH3);12900;kg/an
0005202151;EARL PAJAU PORC FERMIER;2020;Air;Ammoniac (NH3);14700;kg/an
0005202315;SAS DOMAINE DU TAUZIA;2020;Air;Ammoniac (NH3);15800;kg/an
0005518328;SCEA TERRE ET PORC;2020;Air;Ammoniac (NH3);18100;kg/an
0005519635;SCEA DE LA COLLINE;2020;Air;Ammoniac (NH3);16300;kg/an
0005519671;SCEA DES MENHIRS;2020;Air;Ammoniac (NH3);11200;kg/an
0006105210;SARL élevage du Formans;2020;Air;Ammoniac (NH3);11500;kg/an
0006308995;EARL HERISSIERE VOLAILLES;2020;Air;Ammoniac (NH3);11500;kg/an
0006411409;GAEC PRE POMMIER;2020;Air;Ammoniac (NH3);19700;kg/an
0010008117;SCEA LA VILLENEUVE;2020;Air;Ammoniac (NH3);14800;kg/an
0010400570;SCEA SOGIFRA - MEPIEU;2020;Air;Ammoniac (NH3);24400;kg/an
0050100090;GAEC LES PRELIONS;2020;Air;Ammoniac (NH3);27400;kg/an
0050100145;SAS EGGTEAM - Chalamont;2020;Air;Ammoniac (NH3);17700;kg/an
0050100253;SARL DE MONTBURON;2020;Air;Ammoniac (NH3);12200;kg/an
0050100340;SARL Elevage du Bois Cochon;2020;Air;Ammoniac (NH3);12000;kg/an
0050100354;EARL DES QUATRE SAISONS;2020;Air;Ammoniac (NH3);28100;kg/an
0050100576;SARL ELEVAGE DES MARAIS;2020;Air;Ammoniac (NH3);29300;kg/an
0050100584;SDPR PROVENT PRESSIAT;2020;Air;Ammoniac (NH3);32200;kg/an
0050100644;SA AIRPORC PORCHERIE DE GREZIAT;2020;Air;Ammoniac (NH3);10700;kg/an
0050100659;SOGIFRA - ST DIDIER;2020;Air;Ammoniac (NH3);16200;kg/an
0050100743;GAEC DE L'ORME;2020;Air;Ammoniac (NH3);23600;kg/an
0051000028;CHAMPFLEURY (SCEA de);2020;Air;Ammoniac (NH3);33100;kg/an
0051000068;VAL DU PUITS (SCEA);2020;Air;Ammoniac (NH3);43600;kg/an
0051000149;PROMONTVAL (SCEA de);2020;Air;Ammoniac (NH3);81000;kg/an
0051000230;ARSON (SCEA des);2020;Air;Ammoniac (NH3);28500;kg/an
0051200228;LE PORC DU MAYNIE;2020;Air;Ammoniac (NH3);18100;kg/an
0051200398;MONSIEUR LIONEL TAURIAC;2020;Air;Ammoniac (NH3);17800;kg/an
0051400047;LE CLOS DU BOSC;2020;Air;Ammoniac (NH3);18000;kg/an
0051800173;AIRPORC;2020;Air;Ammoniac (NH3);46200;kg/an
0051800202;SCEA DU CORMIER;2020;Air;Ammoniac (NH3);39200;kg/an
0051800332;SCEA DE SOLOGNE;2020;Air;Ammoniac (NH3);12100;kg/an
0051800558;SCEA DE CORTEUIL;2020;Air;Ammoniac (NH3);11800;kg/an
0052200488;SARL DE GASTRY;2020;Air;Ammoniac (NH3);11800;kg/an
0052200753;SARL DE LA ROSETTE ex EARL;2020;Air;Ammoniac (NH3);10800;kg/an
0052200767;ALLAIN JEAN PAUL;2020;Air;Ammoniac (NH3);10500;kg/an
0052201219;EARL DARTOIS GUY;2020;Air;Ammoniac (NH3);10700;kg/an
0052201268;SCEA CORMAN MARCEL;2020;Air;Ammoniac (NH3);13600;kg/an
0052201288;EARL RAOULT PHILIPPE;2020;Air;Ammoniac (NH3);19500;kg/an
0052201315;GAEC DE LORGERIE;2020;Air;Ammoniac (NH3);12400;kg/an
0052201329;SCEA DE LA VILLE POISSIN;2020;Air;Ammoniac (NH3);10300;kg/an
0052201334;GAEC DES BOIS;2020;Air;Ammoniac (NH3);19800;kg/an
0052201349;SCEA DE LA VILLE PEAN;2020;Air;Ammoniac (NH3);19500;kg/an
0052201351;EURL La Ville Poissin;2020;Air;Ammoniac (NH3);22700;kg/an
0052201727;SCEA AVRIL CHRISTOPHE;2020;Air;Ammoniac (NH3);13800;kg/an
0052201864;EARL ROSALIE;2020;Air;Ammoniac (NH3);11500;kg/an
0052201943;GAEC ELEVAGE DAMANY;2020;Air;Ammoniac (NH3);20100;kg/an
0052202451;EARL DE LA BELLE JOIE;2020;Air;Ammoniac (NH3);15600;kg/an
0052202456;SARL DE SAINT MARCEL;2020;Air;Ammoniac (NH3);12700;kg/an
0052202466;SCEA ETIENNE LECLERC;2020;Air;Ammoniac (NH3);14500;kg/an
0052202585;SCEA DU CHAMP RATEL;2020;Air;Ammoniac (NH3);13600;kg/an
0052202591;SCEA LA HELIOTERIE;2020;Air;Ammoniac (NH3);22200;kg/an
0052202748;SCEA DE KERFOS;2020;Air;Ammoniac (NH3);13500;kg/an
0052202936;GAEC DES MEZERAIS;2020;Air;Ammoniac (NH3);10800;kg/an
0052203196;SCEA FAIRIER;2020;Air;Ammoniac (NH3);15000;kg/an
0052203636;SARL LE CLOS DU MOULIN ex EARL QUINEUC;2020;Air;Ammoniac (NH3);14000;kg/an
0052203989;HUET PHILIPPE;2020;Air;Ammoniac (NH3);13000;kg/an
0052204018;SCEA ELEVAGE DE LISNOBLE;2020;Air;Ammoniac (NH3);19500;kg/an
0052204079;EARL DE KERNARHANT;2020;Air;Ammoniac (NH3);13900;kg/an
0052204162;SCEA DAVID;2020;Air;Ammoniac (NH3);11200;kg/an
0052204245;EARL LE PAGE;2020;Air;Ammoniac (NH3);13100;kg/an
0052204653;SCEA ELEVAGE DE LA VALLEE CAVET;2020;Air;Ammoniac (NH3);21300;kg/an
0052204800;SCEA DE LA LANDE;2020;Air;Ammoniac (NH3);25000;kg/an
0052204820;GAEC DE L UNION;2020;Air;Ammoniac (NH3);14700;kg/an
0052204897;EARL GRONE;2020;Air;Ammoniac (NH3);14100;kg/an
0052204941;SCEA  MIKAEL TROADEC;2020;Air;Ammoniac (NH3);13200;kg/an
0052205006;EARL DE LANEGOFF;2020;Air;Ammoniac (NH3);10000;kg/an
0052205198;SCEA DE LA GARENNE;2020;Air;Ammoniac (NH3);12100;kg/an
0052205413;SCEA AUBRY LE MAY;2020;Air;Ammoniac (NH3);12200;kg/an
0052205533;EARL DE LA BOURDONNIERE;2020;Air;Ammoniac (NH3);12500;kg/an
0052206036;ELEVAGE AVICOLE LOZACH LEYAN;2020;Air;Ammoniac (NH3);15800;kg/an
0052216049;EARL LE BARS;2020;Air;Ammoniac (NH3);14100;kg/an
0052216212;SCEA BOUETARD JF;2020;Air;Ammoniac (NH3);18700;kg/an
0052216290;SCEA EOUZAN;2020;Air;Ammoniac (NH3);12600;kg/an
0052216354;SCEA MEZELINE;2020;Air;Ammoniac (NH3);24300;kg/an
0052400446;GAEC PECH DU DOGNON;2020;Air;Ammoniac (NH3);26400;kg/an
0052400919;SCA APO;2020;Air;Ammoniac (NH3);22200;kg/an
0052500378;PEB SAS  Production des Elevages Bourgon;2020;Air;Ammoniac (NH3);36700;kg/an
0052600343;EARL J2AP;2020;Air;Ammoniac (NH3);13600;kg/an
0052800148;DU MOULIN SARL;2020;Air;Ammoniac (NH3);13100;kg/an
0052800165;SAINT ELOI (SCEA) et SCEA LE DIMNA;2020;Air;Ammoniac (NH3);18600;kg/an
0052900031;EARL DE KERVORICE;2020;Air;Ammoniac (NH3);23300;kg/an
0052900033;EARL DE KERANGOAREC;2020;Air;Ammoniac (NH3);19800;kg/an
0052900217;BRIANT (EARL);2020;Air;Ammoniac (NH3);18100;kg/an
0052900226;LICHOU (SAS);2020;Air;Ammoniac (NH3);18500;kg/an
0052900233;EARL PRIMEL;2020;Air;Ammoniac (NH3);10100;kg/an
0052900281;EARL QUEMENEUR BERNARD;2020;Air;Ammoniac (NH3);12200;kg/an
0052900549;SARL LE GALL;2020;Air;Ammoniac (NH3);24600;kg/an
0052900550;SCEA DES VALLEES;2020;Air;Ammoniac (NH3);16600;kg/an
0052900577;GOADEC (GAEC DE);2020;Air;Ammoniac (NH3);19200;kg/an
0052900706;EARL EMILY;2020;Air;Ammoniac (NH3);11700;kg/an
